exp.name	strain	spore.strain	spore.species	dose	spores	fixing.date	slide	file	worm.number	area	percent.infected	area.infected	timepoint
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	14	55806.32	1.05	585.96636	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	15	53185.35	4.91	2611.400685	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	16	62722.75	5.11	3205.132525	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	17	53907.58	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	18	55342.15	2.46	1361.41689	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	19	51258.58	9.19	4710.663502	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	20	61134.83	4.09	2500.414547	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	21	68364.55	5.49	3753.213795	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	22	51770.57	2.17	1123.421369	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	23	66800.55	0.36	240.48198	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	24	77455.09	0.83	642.877247	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	25	59611.22	0.34	202.678148	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	26	59133.86	1.89	1117.629954	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	27	55459.22	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	28	55806.32	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	29	64461.54	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	30	62638.65	2.66	1666.18809	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	31	58926.09	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	32	55171.48	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	33	61028.47	0.59	360.067973	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	34	53499.47	2.35	1257.237545	72hpi
